일시,padding_F,padding_M
2020-03-28,1.3186,1.27379
2020-03-29,1.58334,1.54196
2020-03-30,1.23714,1.2805
2020-03-31,1.03859,1.15982
2020-04-01,1.21168,0.99892
2020-04-02,1.15059,1.26039
2020-04-03,1.21678,0.91847
2020-04-04,1.3186,1.2805
2020-04-05,1.2575,1.56208
2020-04-06,1.27787,0.87154
2020-04-07,1.17096,1.07267
2020-04-08,1.15568,1.13971
2020-04-09,1.20659,1.30061
2020-04-10,1.03859,0.9654
2020-04-11,1.15568,1.1263
2020-04-12,1.19641,1.34754
2020-04-13,1.16586,1.29391
2020-04-14,0.93676,0.7978
2020-04-15,0.90113,0.94529
2020-04-16,0.6313,0.85813
2020-04-17,0.83494,0.89836
2020-04-18,0.73312,0.90506
2020-04-19,0.96222,0.79109
2020-04-20,0.96222,1.17994
2020-04-21,2.03645,1.56208
2020-04-22,2.93758,2.52078
2020-04-23,2.11281,1.99115
2020-04-24,1.53243,1.1196
2020-04-25,0.90622,0.79109
2020-04-26,0.76876,1.00563
2020-04-27,0.96222,1.00563
2020-04-28,3.04449,5.5846
2020-04-29,1.44079,2.49396
2020-04-30,0.98767,1.17994
2020-05-01,0.75857,0.84473
2020-05-02,0.59566,0.78439
2020-05-03,0.73312,0.83802
2020-05-04,0.67712,0.71064
2020-05-05,0.76876,0.92518
2020-05-06,0.6262,0.91847
2020-05-07,0.71784,0.75757
2020-05-08,0.54984,0.67712
2020-05-09,0.57529,0.99222
2020-05-10,0.7433,0.7978
2020-05-11,0.69748,0.77098
2020-05-12,0.72803,0.68382
2020-05-13,0.63639,0.87154
2020-05-14,0.69239,0.71735
2020-05-15,0.61093,0.91847
2020-05-16,0.58038,1.30061
2020-05-17,0.75857,1.16653
2020-05-18,0.65675,0.94529
2020-05-19,0.89094,1.08608
2020-05-20,0.76876,1.17994
2020-05-21,0.68221,0.87154
2020-05-22,0.70257,0.88495
2020-05-23,0.67712,0.89836
2020-05-24,0.67202,0.9654
2020-05-25,0.72294,0.78439
2020-05-26,0.72294,0.83802
2020-05-27,0.53965,0.71735
2020-05-28,0.53456,0.57656
2020-05-29,0.52947,0.69053
2020-05-30,0.54475,0.84473
2020-05-31,0.53456,1.05926
2020-06-01,0.52438,0.69053
2020-06-02,0.56002,0.84473
2020-06-03,0.63639,0.55644
2020-06-04,0.57529,0.6436
2020-06-05,0.64148,0.60337
2020-06-06,0.59566,0.75087
2020-06-07,0.82985,0.88495
2020-06-08,0.63639,0.8045
2020-06-09,0.69239,0.86484
2020-06-10,0.71784,0.8112
2020-06-11,0.52438,0.90506
2020-06-12,0.61602,0.75757
2020-06-13,0.50402,0.69053
2020-06-14,0.64657,0.95199
2020-06-15,0.71275,0.85813
2020-06-16,0.66693,0.70394
2020-06-17,0.70766,0.91177
2020-06-18,0.70257,0.97881
2020-06-19,0.67712,1.07267
2020-06-20,0.74839,1.17994
2020-06-21,0.80439,1.17323
2020-06-22,0.79421,0.98551
2020-06-23,0.88076,0.99892
2020-06-24,1.01313,1.04585
2020-06-25,0.93676,1.13301
2020-06-26,0.88076,0.99892
2020-06-27,0.75857,1.08608
2020-06-28,1.08441,1.26039
2020-06-29,0.86549,0.91847
2020-06-30,0.81458,1.03915
2020-07-01,1.0284,1.03915
2020-07-02,0.82985,0.95199
2020-07-03,0.98767,1.11289
2020-07-04,0.9164,0.94529
2020-07-05,0.97749,1.23357
2020-07-06,0.77385,1.22687
2020-07-07,1.06404,1.10619
2020-07-08,0.9164,1.26709
2020-07-09,0.81967,0.97881
2020-07-10,0.86549,1.09949
2020-07-11,1.27787,1.51515
2020-07-12,1.22696,1.81013
2020-07-13,1.23205,1.40788
2020-07-14,1.18623,1.34754
2020-07-15,1.06913,1.42799
2020-07-16,0.98767,1.1263
2020-07-17,1.10986,0.99892
2020-07-18,0.99277,1.32072
2020-07-19,0.98258,1.54867
2020-07-20,1.04877,1.70286
2020-07-21,1.24223,1.40788
2020-07-22,1.28296,1.4347
2020-07-23,1.17605,1.57548
2020-07-24,1.1455,1.41458
2020-07-25,1.32878,1.79672
2020-07-26,1.38987,1.74309
2020-07-27,1.1455,1.2805
2020-07-28,1.28805,1.70957
2020-07-29,1.18623,1.64253
2020-07-30,1.38987,1.41458
2020-07-31,1.40515,1.2872
2020-08-01,1.33387,1.46822
2020-08-02,1.62916,1.95762
2020-08-03,1.55279,1.70286
2020-08-04,1.80735,1.72968
2020-08-05,2.04154,1.52185
2020-08-06,1.99572,1.73639
2020-08-07,1.61897,1.56208
2020-08-08,1.81753,1.99115
2020-08-09,2.15863,2.0716
2020-08-10,1.92444,1.98444
2020-08-11,2.03645,2.01796
2020-08-12,2.19936,2.27272
2020-08-13,2.08227,2.62134
2020-08-14,2.32664,2.52078
2020-08-15,2.41319,2.22579
2020-08-16,2.48447,2.41351
2020-08-17,2.50992,2.54089
2020-08-18,2.34701,2.29283
2020-08-19,2.5812,2.27943
2020-08-20,2.5252,2.77554
2020-08-21,2.94776,2.56771
2020-08-22,3.2685,2.99678
2020-08-23,3.57906,2.77554
2020-08-24,3.12595,3.09064
2020-08-25,3.26341,2.76883
2020-08-26,3.6147,3.29847
2020-08-27,3.60961,3.47948
2020-08-28,3.11577,3.05711
2020-08-29,3.95071,2.99678
2020-08-30,4.03217,3.9957
2020-08-31,3.85398,3.72754
2020-09-01,3.81325,4.12979
2020-09-02,4.1849,3.71413
2020-09-03,4.23582,3.95548
2020-09-04,4.46492,3.9957
2020-09-05,5.03512,4.69965
2020-09-06,6.56246,5.91311
2020-09-07,8.12544,7.34781
2020-09-08,5.99226,4.95441
2020-09-09,5.51878,4.81362
2020-09-10,4.59729,4.91418
2020-09-11,5.7377,4.84043
2020-09-12,5.70206,6.00026
2020-09-13,6.11953,6.0539
2020-09-14,5.39659,5.83266
2020-09-15,4.52601,4.81362
2020-09-16,4.84166,5.27621
2020-09-17,5.31004,5.46393
2020-09-18,4.81621,4.98793
2020-09-19,4.99949,5.41029
2020-09-20,6.5981,6.72432
2020-09-21,6.32318,6.72432
2020-09-22,6.23154,6.60364
2020-09-23,6.33336,6.57012
2020-09-24,5.44241,6.24832
2020-09-25,5.36605,5.94663
2020-09-26,6.1959,6.42263
2020-09-27,7.16831,7.67632
2020-09-28,6.34864,7.20702
2020-09-29,5.34059,5.7455
2020-09-30,5.11658,5.98685
2020-10-01,6.23154,6.44945
2020-10-02,7.73342,7.42826
2020-10-03,7.96762,7.8171
2020-10-04,10.93574,11.02842
2020-10-05,17.17238,16.75382
2020-10-06,16.15925,17.12925
2020-10-07,13.92933,13.62965
2020-10-08,11.49577,12.51676
2020-10-09,11.90306,12.08769
2020-10-10,11.16485,11.99383
2020-10-11,12.28999,13.97157
2020-10-12,11.02229,12.51005
2020-10-13,14.05661,14.91016
2020-10-14,18.11424,17.61196
2020-10-15,23.81631,23.096
2020-10-16,22.76753,21.3395
2020-10-17,19.67722,18.93268
2020-10-18,21.88677,22.44569
2020-10-19,19.71795,20.97747
2020-10-20,17.16729,18.08795
2020-10-21,17.30475,18.57736
2020-10-22,19.42775,21.10485
2020-10-23,34.8997,31.59694
2020-10-24,41.82873,39.07884
2020-10-25,37.95438,35.92115
2020-10-26,29.59983,29.75998
2020-10-27,24.97708,26.2872
2020-10-28,21.4642,23.47144
2020-10-29,26.57061,26.87717
2020-10-30,23.00682,22.76749
2020-10-31,23.08828,22.80772
2020-11-01,34.99134,33.80262
2020-11-02,32.44068,31.81818
2020-11-03,81.44791,79.08286
2020-11-04,100,100
2020-11-05,58.46655,56.49637
2020-11-06,37.98493,38.58272
2020-11-07,34.64514,34.43282
2020-11-08,44.70522,46.27916
2020-11-09,57.59596,54.80691
2020-11-10,45.95764,43.91928
2020-11-11,37.3129,36.7927
2020-11-12,29.97148,32.10646
2020-11-13,24.5647,25.58326
2020-11-14,26.83026,27.46044
2020-11-15,28.13359,29.41137
2020-11-16,24.1065,26.66934
2020-11-17,19.90123,20.93054
2020-11-18,19.25974,18.76508
2020-11-19,20.69035,19.64333
2020-11-20,36.53395,33.20595
2020-11-21,34.46186,33.40037
2020-11-22,43.3357,40.78841
2020-11-23,59.97861,59.34566
2020-11-24,44.73577,39.64869
2020-11-25,38.5144,35.21721
2020-11-26,33.47418,30.81925
2020-11-27,33.27563,30.81925
2020-11-28,44.5423,42.21641
2020-11-29,50.44292,48.21668
2020-11-30,47.6988,43.02762
2020-12-01,45.30597,40.28559
2020-12-02,37.89838,34.15795
2020-12-03,36.3914,32.60927
2020-12-04,32.66469,31.43604
2020-12-05,34.68078,32.28077
2020-12-06,33.60655,33.11879
2020-12-07,28.39323,28.78117
2020-12-08,31.01008,30.30973
2020-12-09,29.04999,26.41458
2020-12-10,27.0899,25.85813
2020-12-11,22.45697,21.88924
2020-12-12,26.23969,26.33413
2020-12-13,35.3579,35.37141
2020-12-14,39.88901,37.91901
2020-12-15,40.79014,39.73585
2020-12-16,37.52163,34.31885
2020-12-17,30.03258,28.42585
2020-12-18,24.41197,23.38428
2020-12-19,26.22441,25.44918
2020-12-20,26.56552,26.49503
2020-12-21,20.71581,21.41995
2020-12-22,18.17024,18.11477
2020-12-23,15.50758,15.63421
2020-12-24,12.96202,13.7034
2020-12-25,14.58609,14.71574
2020-12-26,14.48426,14.56154
2020-12-27,15.67559,16.0834
2020-12-28,13.01802,12.07428
2020-12-29,14.45372,12.1145
2020-12-30,19.28011,16.86779
2020-12-31,14.89155,14.52131
2021-01-01,18.01582,20.41502
2021-01-02,18.95318,19.96391
2021-01-03,20.24815,19.98031
2021-01-04,18.29215,18.27427
2021-01-05,19.26202,18.59416
2021-01-06,20.4703,20.11154
2021-01-07,25.55808,22.89206
2021-01-08,22.05786,21.74376
2021-01-09,24.31729,24.32742
2021-01-10,22.29627,22.13746
2021-01-11,17.72865,17.33103
2021-01-12,16.52579,15.18208
2021-01-13,14.89488,12.99212
2021-01-14,11.76311,10.29363
2021-01-15,9.48742,8.80085
2021-01-16,12.40247,11.58956
2021-01-17,14.88946,14.0748
2021-01-18,13.10684,11.24507
2021-01-19,12.4133,12.36056
2021-01-20,13.42652,11.54855
2021-01-21,11.89315,9.85072
2021-01-22,9.46033,8.18569
2021-01-23,9.77459,9.16174
2021-01-24,9.3628,9.26017
2021-01-25,7.94863,7.27526
2021-01-26,7.89986,6.86515
2021-01-27,7.38513,7.062
2021-01-28,8.61508,7.96423
2021-01-29,8.92392,7.80019
2021-01-30,8.62592,7.87401
2021-01-31,8.55006,8.42355
2021-02-01,7.43389,6.29921
2021-02-02,7.94863,6.79133
2021-02-03,8.11118,6.98818
2021-02-04,7.3472,6.83234
2021-02-05,6.1931,6.61909
2021-02-06,6.62657,6.07775
2021-02-07,6.64824,6.84055
2021-02-08,6.89206,5.46259
2021-02-09,5.99263,4.97047
2021-02-10,5.27199,4.60958
2021-02-11,4.52427,4.97047
2021-02-12,4.97399,4.76541
2021-02-13,4.96315,4.43733
2021-02-14,5.25032,4.89665
2021-02-15,5.64044,4.63418
2021-02-16,6.12808,5.56922
2021-02-17,7.54226,5.8727
2021-02-18,6.89206,5.4872
2021-02-19,5.27199,4.49475
2021-02-20,4.4755,4.27329
2021-02-21,4.28586,4.20767
2021-02-22,3.56523,2.91174
2021-02-23,3.87407,3.19061
2021-02-24,3.7928,3.25623
2021-02-25,3.26723,2.81332
2021-02-26,2.82293,2.63287
2021-02-27,3.51647,3.05118
2021-02-28,3.34308,3.01017
2021-03-01,4.0583,4.19127
2021-03-02,4.88188,3.65813
2021-03-03,4.02037,3.17421
2021-03-04,3.57065,2.82972
2021-03-05,2.5195,2.24737
2021-03-06,2.94755,2.78871
2021-03-07,3.01798,3.10859
2021-03-08,3.55981,2.82152
2021-03-09,2.55201,2.58366
2021-03-10,2.24859,2.24737
2021-03-11,2.05895,1.92749
2021-03-12,2.04811,1.9849
2021-03-13,1.85847,2.05052
2021-03-14,1.88014,1.82086
2021-03-15,1.86931,1.88648
2021-03-16,1.80429,1.74704
2021-03-17,1.66883,1.77985
2021-03-18,1.46293,1.40255
2021-03-19,1.35457,1.38615
2021-03-20,1.5713,1.55019
2021-03-21,1.94516,2.14074
2021-03-22,2.67663,2.42782
2021-03-23,1.65799,1.55839
2021-03-24,1.13242,1.43536
2021-03-25,1.0674,0.99245
2021-03-26,0.89943,0.90223
2021-03-27,0.89401,1.41076
2021-03-28,1.16493,1.40255
2021-03-29,1.04573,1.14829
2021-03-30,0.91569,1.1729
2021-03-31,0.73688,0.96784
